FA/binder,CA/Binder,Binder (kg),% of SiO2,% of CaO,% of Al2O3,liquid/binder ratio,NaOH Molarity,Na2SiO3/  NaOH,Additional Water (%),SP (% of b),Curing temp (0 C),Age,Comp. Strength (Mpa),,
1.63,3.02,400.00,48.25,5.92,26.86,0.35,14.00,2.50,0.00,0.00,21.50,3.00,22.00,,
1.63,3.02,400.00,48.25,5.92,26.86,0.45,14.00,2.50,0.00,0.00,21.50,3.00,13.20,,
1.63,3.02,400.00,48.25,5.92,26.86,0.40,14.00,1.50,0.00,0.00,21.50,3.00,12.65,,
1.63,3.02,400.00,48.25,5.92,26.86,0.40,14.00,2.00,0.00,0.00,21.50,3.00,15.40,,
1.63,3.02,400.00,50.00,1.79,28.25,0.40,14.00,2.50,0.00,0.00,21.50,7.00,17.27,,
1.63,3.02,400.00,48.25,5.92,26.86,0.40,14.00,2.50,0.00,0.00,21.50,7.00,24.31,,
1.63,3.02,400.00,46.49,10.05,25.46,0.40,14.00,2.50,0.00,0.00,21.50,7.00,31.46,,
1.63,3.02,400.00,44.74,14.18,24.07,0.40,14.00,2.50,0.00,0.00,21.50,7.00,45.76,,
1.63,3.02,400.00,48.25,5.92,26.86,0.35,14.00,2.50,0.00,0.00,21.50,7.00,35.64,,
1.63,3.02,400.00,48.25,5.92,26.86,0.45,14.00,2.50,0.00,0.00,21.50,7.00,22.00,,
1.63,3.02,400.00,48.25,5.92,26.86,0.40,14.00,1.50,0.00,0.00,21.50,7.00,20.90,,
1.63,3.02,400.00,48.25,5.92,26.86,0.40,14.00,2.00,0.00,0.00,21.50,7.00,22.00,,
1.63,3.02,400.00,50.00,1.79,28.25,0.40,14.00,2.50,0.00,0.00,21.50,28.00,29.15,,
1.63,3.02,400.00,48.25,5.92,26.86,0.40,14.00,2.50,0.00,0.00,21.50,28.00,38.50,,
1.63,3.02,400.00,46.49,10.05,25.46,0.40,14.00,2.50,0.00,0.00,21.50,28.00,45.08,,
1.63,3.02,400.00,44.74,14.18,24.07,0.40,14.00,2.50,0.00,0.00,21.50,28.00,54.88,,
1.63,3.02,400.00,48.25,5.92,26.86,0.35,14.00,2.50,0.00,0.00,21.50,28.00,45.08,,
1.63,3.02,400.00,48.25,5.92,26.86,0.45,14.00,2.50,0.00,0.00,21.50,28.00,34.10,,
1.63,3.02,400.00,48.25,5.92,26.86,0.40,14.00,1.50,0.00,0.00,21.50,28.00,38.50,,
1.63,3.02,400.00,48.25,5.92,26.86,0.40,14.00,2.00,0.00,0.00,21.50,28.00,37.40,,
1.63,3.02,400.00,50.00,1.79,28.25,0.40,14.00,2.50,0.00,0.00,21.50,56.00,33.50,,
1.63,3.02,400.00,48.25,5.92,26.86,0.40,14.00,2.50,0.00,0.00,21.50,56.00,41.25,,
1.63,3.02,400.00,46.49,10.05,25.46,0.40,14.00,2.50,0.00,0.00,21.50,56.00,45.08,,
1.63,3.02,400.00,44.74,14.18,24.07,0.40,14.00,2.50,0.00,0.00,21.50,56.00,60.76,,
1.63,3.02,400.00,48.25,5.92,26.86,0.35,14.00,2.50,0.00,0.00,21.50,56.00,49.98,,
1.63,3.02,400.00,48.25,5.92,26.86,0.45,14.00,2.50,0.00,0.00,21.50,56.00,37.40,,
1.63,3.02,400.00,48.25,5.92,26.86,0.40,14.00,1.50,0.00,0.00,21.50,56.00,45.10,,
1.63,3.02,400.00,48.25,5.92,26.86,0.40,14.00,2.00,0.00,0.00,21.50,56.00,42.90,,
1.60,3.00,400.00,52.52,8.68,30.16,0.40,10.00,2.02,0.00,6.00,25.00,3.00,5.00,,
1.61,3.02,400.00,50.48,12.71,28.38,0.40,10.00,2.02,0.00,6.00,25.00,3.00,11.00,,
1.62,3.03,400.00,48.45,16.74,26.61,0.40,10.00,2.02,0.00,6.00,25.00,3.00,15.00,,
1.63,3.05,400.00,44.38,24.80,23.07,0.40,10.00,2.02,0.00,6.00,25.00,3.00,20.00,,
1.61,3.02,400.00,50.48,12.71,28.38,0.40,12.00,2.02,0.00,6.00,25.00,3.00,15.00,,
1.62,3.03,400.00,48.45,16.74,26.61,0.40,12.00,2.02,0.00,6.00,25.00,3.00,20.00,,
